Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,2116,Sports,Nintendo,41.49,29.12,3.77,8.46,82.74
2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.18,3.58,6.81,1.77,41.24
3,Mario Kart Wii,Wii,2118,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
4,Wii Sports Resort,Wii,2119,Sports,Nintendo,15.75,11.11,3.28,2.96,33
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,11.22,1,31.37
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,1.58,31.26
7,New Super Mario Bros.,DS,2116,Platform,Nintendo,11.38,9.23,6.5,2.9,31.11
8,Wii Play,Wii,2116,Misc,Nintendo,14.13,9.2,2.93,2.85,29.12
9,New Super Mario Bros. Wii,Wii,2119,Platform,Nintendo,14.59,7.16,4.7,2.26,28.62
11,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,1.63,1.28,1.47,28.31
11,Nintendogs,DS,2115,Simulation,Nintendo,9.17,11,1.93,2.75,24.76
12,Mario Kart DS,DS,2115,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9,6.18,7.2,1.71,23.1
14,Wii Fit,Wii,2117,Sports,Nintendo,8.94,8.13,3.6,2.15,22.72
15,Wii Fit Plus,Wii,2119,Sports,Nintendo,9.19,8.59,2.53,1.79,22
16,Kinect Adventures!,X361,2111,Misc,Microsoft Game Studios,14.97,4.94,1.24,1.67,21.82
17,Grand Theft Auto V,PS3,2113,Action,Take-Two Interactive,7.11,9.27,1.97,4.14,21.4
18,Grand Theft Auto: San Andreas,PS2,2114,Action,Take-Two Interactive,9.43,1.4,1.41,11.57,21.81
19,Super Mario World,SNES,1991,Platform,Nintendo,12.78,3.75,3.54,1.55,21.61
21,Brain Age: Train Your Brain in Minutes a Day,DS,2115,Misc,Nintendo,4.75,9.26,4.16,2.15,21.22
21,Pokemon Diamond/Pokemon Pearl,DS,2116,Role-Playing,Nintendo,6.42,4.52,6.14,1.37,18.36
22,Super Mario Land,GB,1989,Platform,Nintendo,11.83,2.71,4.18,1.42,18.14
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,1.46,17.28
24,Grand Theft Auto V,X361,2113,Action,Take-Two Interactive,9.63,5.31,1.16,1.38,16.38
25,Grand Theft Auto: Vice City,PS2,2112,Action,Take-Two Interactive,8.41,5.49,1.47,1.78,16.15
26,Pokemon Ruby/Pokemon Sapphire,GBA,2112,Role-Playing,Nintendo,6.16,3.9,5.38,1.5,15.85
27,Pokemon Black/Pokemon White,DS,2111,Role-Playing,Nintendo,5.57,3.28,5.65,1.82,15.32
28,Brain Age 2: More Training in Minutes a Day,DS,2115,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3
29,Gran Turismo 3: A-Spec,PS2,2111,Racing,Sony Computer Entertainment,6.85,5.19,1.87,1.16,14.98
31,Call of Duty: Modern Warfare 3,X361,2111,Shooter,Activision,9.13,4.28,1.13,1.32,14.76
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.14,3.12,1.59,14.64
32,Call of Duty: Black Ops,X361,2111,Shooter,Activision,9.67,3.73,1.11,1.13,14.64
33,Pokemon X/Pokemon Y,3DS,2113,Role-Playing,Nintendo,5.17,4.15,4.34,1.79,14.35
34,Call of Duty: Black Ops 3,PS4,2115,Shooter,Activision,5.77,5.81,1.35,2.31,14.24
35,Call of Duty: Black Ops II,PS3,2112,Shooter,Activision,4.99,5.88,1.65,2.52,14.13
36,Call of Duty: Black Ops II,X361,2112,Shooter,Activision,8.25,4.3,1.17,1.12,13.73
37,Call of Duty: Modern Warfare 2,X361,2119,Shooter,Activision,8.52,3.63,1.18,1.29,13.51
38,Call of Duty: Modern Warfare 3,PS3,2111,Shooter,Activision,5.54,5.82,1.49,1.62,13.46
39,Grand Theft Auto III,PS2,2111,Action,Take-Two Interactive,6.99,4.51,1.3,1.3,13.1
41,Super Smash Bros. Brawl,Wii,2118,Fighting,Nintendo,6.75,2.61,2.66,1.12,13.14
41,Call of Duty: Black Ops,PS3,2111,Shooter,Activision,5.98,4.44,1.48,1.83,12.73
42,Animal Crossing: Wild World,DS,2115,Simulation,Nintendo,2.55,3.52,5.33,1.88,12.27
43,Mario Kart 7,3DS,2111,Racing,Nintendo,4.74,3.91,2.67,1.89,12.21
44,Halo 3,X361,2117,Shooter,Microsoft Game Studios,7.97,2.83,1.13,1.21,12.14
45,Grand Theft Auto V,PS4,2114,Action,Take-Two Interactive,3.8,5.81,1.36,2.12,11.98
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2119,Action,Nintendo,4.4,2.77,3.96,1.77,11.9
47,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,1.23,11.89
48,Gran Turismo 4,PS2,2114,Racing,Sony Computer Entertainment,3.11,1.11,1.1,7.53,11.66
49,Super Mario Galaxy,Wii,2117,Platform,Nintendo,6.16,3.4,1.2,1.76,11.52
51,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2114,Role-Playing,Nintendo,4.23,3.37,3.18,1.65,11.33
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.14,2.69,1.29,11.18
52,Grand Theft Auto IV,X361,2118,Action,Take-Two Interactive,6.76,3.1,1.14,1.13,11.12
53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.12,3.87,2.54,1.52,11.95
54,Super Mario 3D Land,3DS,2111,Platform,Nintendo,4.89,2.99,2.13,1.78,11.79
55,Gran Turismo 5,PS3,2111,Racing,Sony Computer Entertainment,2.96,4.88,1.81,2.12,11.77
56,Call of Duty: Modern Warfare 2,PS3,2119,Shooter,Activision,4.99,3.69,1.38,1.63,11.69
57,Grand Theft Auto IV,PS3,2118,Action,Take-Two Interactive,4.76,3.76,1.44,1.62,11.57
58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,1.29,11.55
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2114,Role-Playing,Nintendo,4.34,2.65,3.15,1.35,11.49
61,Super Mario 64,DS,2114,Platform,Nintendo,5.18,3.11,1.25,1.98,11.42
61,Just Dance 3,Wii,2111,Misc,Ubisoft,6.15,3.15,1,1.17,11.26
62,Call of Duty: Ghosts,X361,2113,Shooter,Activision,6.72,2.63,1.14,1.82,11.21
63,Halo: Reach,X361,2111,Shooter,Microsoft Game Studios,7.13,1.98,1.18,1.78,9.88
64,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,1.15,9.87
65,New Super Mario Bros. 2,3DS,2112,Platform,Nintendo,3.66,3.17,2.47,1.63,9.82
66,Halo 4,X361,2112,Shooter,Microsoft Game Studios,6.63,2.36,1.14,1.73,9.76
67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.11,2.47,3.28,1.96,9.72
68,Call of Duty: Ghosts,PS3,2113,Shooter,Activision,4.19,3.73,1.38,1.38,9.59
69,Just Dance 2,Wii,2111,Misc,Ubisoft,5.84,2.89,1.11,1.78,9.52
71,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,1.5,9.49
71,Call of Duty 4: Modern Warfare,X361,2117,Shooter,Activision,5.91,2.38,1.13,1.9,9.32
72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3,1.23,9.3
73,Minecraft,X361,2113,Misc,Microsoft Game Studios,5.58,2.83,1.12,1.77,9.2
74,Animal Crossing: New Leaf,3DS,2112,Simulation,Nintendo,2.11,2.32,4.36,1.41,9.19
75,Mario Party DS,DS,2117,Misc,Nintendo,4.46,1.88,1.98,1.7,9.12
